merchant_id,business_category,business_age,country,monthly_revenue,avg_transaction_value,chargeback_ratio,negative_reviews_ratio,previous_fraud_reports,suspicious_activity_flag,is_fraud
M00000,Electronics,35,Brazil,160362,679,0.07,0.12,1,No,0
M00001,Grocery,10,India,131116,4394,0.08,0.17,6,No,1
M00002,Pharmacy,49,UK,89080,3310,0.27,0.09,6,No,1
M00003,Automotive,33,UK,28917,2246,0.0,0.18,6,No,1
M00004,Automotive,9,USA,114002,3634,0.17,0.38,2,Yes,1
M00005,Retail,1,Brazil,30766,4212,0.3,0.38,1,No,1
M00006,Grocery,31,Canada,104783,339,0.13,0.08,3,Yes,1
M00007,Clothing,40,Germany,9311,2853,0.01,0.14,8,Yes,1
M00008,Services,46,USA,81602,4193,0.21,0.34,1,Yes,1
M00009,Retail,41,Australia,131343,2863,0.07,0.13,2,No,0
M00010,Automotive,37,Canada,100970,1966,0.12,0.02,9,No,1
M00011,Retail,32,India,23629,2918,0.01,0.18,3,Yes,1
M00012,Services,45,USA,166349,2345,0.0,0.37,4,No,0
M00013,Grocery,24,Canada,28194,82,0.06,0.09,6,No,1
M00014,Services,46,India,18747,2078,0.11,0.19,8,No,1
M00015,Clothing,36,Canada,50677,4526,0.24,0.17,8,Yes,1
M00016,Pharmacy,41,Canada,138236,4606,0.19,0.36,6,No,1
M00017,Services,30,Canada,199254,4403,0.17,0.0,4,No,0
M00018,Clothing,46,UK,5465,392,0.19,0.15,2,No,0
M00019,Grocery,18,France,181338,2818,0.3,0.29,0,Yes,1
M00020,Pharmacy,45,Germany,42506,3650,0.28,0.09,6,Yes,1
M00021,Automotive,30,India,74938,3180,0.07,0.3,1,No,0
M00022,Electronics,21,Australia,87543,1013,0.02,0.01,4,No,0
M00023,Services,29,Germany,70114,2999,0.22,0.25,4,Yes,1
M00024,Pharmacy,17,Brazil,165431,1540,0.14,0.05,5,Yes,1
M00025,Services,7,France,43532,1328,0.07,0.09,10,Yes,1
M00026,Electronics,28,Germany,114798,3826,0.21,0.29,1,No,1
M00027,Retail,15,USA,16376,2805,0.13,0.21,1,Yes,1
M00028,Grocery,25,Germany,83211,4746,0.05,0.03,10,No,1
M00029,Services,5,France,140428,1176,0.04,0.35,1,Yes,1
M00030,Electronics,3,Germany,199860,2438,0.17,0.04,3,Yes,1
M00031,Retail,36,Australia,197440,4957,0.01,0.28,3,Yes,1
M00032,Clothing,43,Germany,96277,3588,0.27,0.15,4,Yes,1
M00033,Pharmacy,21,France,42023,1443,0.02,0.13,3,No,0
M00034,Pharmacy,34,France,131491,892,0.04,0.06,0,Yes,1
